ROI_id,start_idx,end_idx,start_window,end_window,duration,mean_range,mean_valence,mean_arousal,mean_dominance,sample_sentences
1,7,32,8,33,26,0.07175919259916216,0.08254988419589471,0.024991237275310094,0.06827508482364233,"It showed a lady fitted out with a fur hat and fur boa who sat upright, raising a heavy fur muff that covered the whole of her lower arm towards the viewer. || “Getting up early all the time”, he thought, “it makes you stupid. || “God in Heaven!”"
12,276,291,277,292,16,0.12746207849787347,0.07493072838345768,-0.03542347785223884,0.08818937724746534,"It went very slowly, but perhaps his father was able to see his good intentions as he did nothing to hinder him, in fact now and then he used the tip of his stick to give directions from a distance as to which way to turn. || Nor would he ever have allowed Gregor the time to get himself upright as preparation for getting through the doorway. || The light from the electric street lamps shone palely here and there onto the ceiling and tops of the furniture, but down below, where Gregor was, it was dark."
13,312,313,313,314,2,0.14849519941157055,0.09071076985943005,-0.0577844295521405,0.0828099215429868,"For some reason, the tall, empty room where he was forced to remain made him feel uneasy as he lay there flat on the floor, even though he had been living in it for five years. || For some reason, the tall, empty room where he was forced to remain made him feel uneasy as he lay there flat on the floor, even though he had been living in it for five years. || Hardly aware of what he was doing other than a slight feeling of shame, he hurried under the couch."
14,319,320,320,321,2,0.1453512536776705,0.1112625890813977,-0.0340886645962728,0.08868978587773671,"But she seemed to regret her behaviour, as she opened the door again straight away and came in on tip-toe as if entering the room of someone seriously ill or even of a stranger. || But she seemed to regret her behaviour, as she opened the door again straight away and came in on tip-toe as if entering the room of someone seriously ill or even of a stranger. || Gregor had pushed his head forward, right to the edge of the couch, and watched her."
15,333,340,334,341,8,0.09468570529584705,-0.007777016999019198,-0.025251480876102964,0.04600976994115661,"“Am I less sensitive than I used to be, then?”, he thought, and was already sucking greedily at the cheese which had immediately, almost compellingly, attracted him much more than the other foods on the newspaper. || He was immediately startled, although he had been half asleep, and he hurried back under the couch. || She had hardly turned her back before Gregor came out again from under the couch and stretched himself."
16,350,353,351,354,4,0.14653501716246953,0.04776811049362473,-0.08030893592677248,0.06404172196796253,"and it was out of the question to leave the flat entirely empty. || And on the very first day the maid had fallen to her knees and begged Gregor’s mother to let her go without delay. || She even swore emphatically not to tell anyone the slightest about what had happened, even though no-one had asked that of her."
17,394,406,395,407,13,0.12006821384564935,0.03659330072673272,-0.025014933739029518,0.09505328010661981,"His observant sister only needed to notice the chair twice before she would always push it back to its exact position by the window after she had tidied up the room, and even left the inner pane of the window open from then on. || She would alarm Gregor twice a day with this running about and noise making; he would stay under the couch shivering the whole while, knowing full well that she would certainly have liked to spare him this ordeal, but it was impossible for her to be in the same room with him with the windows closed. || If she did not think this sheet was necessary then all she had to do was take it off again, as it was clear enough that it was no pleasure for Gregor to cut himself off so completely."
18,419,422,420,423,4,0.12917508499509478,0.028319839816933222,-0.0314197760706109,0.09775530892448388,"But now, of course, he had far better control of his body than before and, even with a fall as great as that, caused himself no damage. || Very soon his sister noticed Gregor’s new way of entertaining himself—he had, after all, left traces of the adhesive from his feet as he crawled about—and got it into her head to make it as easy as possible for him by removing the furniture that got in his way, especially the chest of drawers and the desk. || but she certainly would not have helped in this, she had even asked to be allowed to keep the kitchen locked at all times and never to have to open the door unless it was especially important; so his sister had no choice but to choose some time when Gregor’s father was not there and fetch his mother to help her."
19,439,440,440,441,2,0.1466940797646271,0.0905180516508651,-0.0535751258581229,0.0858488313174229,"His sister, unfortunately, did not agree; she had become used to the idea, not without reason, that she was Gregor’s spokesman to his parents about the things that concerned him. || His sister, unfortunately, did not agree; she had become used to the idea, not without reason, that she was Gregor’s spokesman to his parents about the things that concerned him. || This meant that his mother’s advice now was sufficient reason for her to insist on removing not only the chest of drawers and the desk, as she had thought at first, but all the furniture apart from the all-important couch."
20,449,458,450,459,10,0.11093188362209724,0.06005523144818488,-0.022278739130434478,0.05680430205949579,"He meant to be as careful and considerate as he could, but, unfortunately, it was his mother who came back first while Grete in the next room had her arms round the chest, pushing and pulling at it from side to side by herself without, of course, moving it an inch. || She stood very still, remained there a moment, and then went back out to Grete. || So, while the women were leant against the desk in the other room catching their breath, he sallied out, changed direction four times not knowing what he should save first before his attention was suddenly caught by the picture on the wall—which was already denuded of everything else that had been on it—of the lady dressed in copious fur."
21,466,483,467,484,18,0.10897706948530604,0.0055066070974537,-0.03693093785187558,0.06777484254113457,"Gregor could see what Grete had in mind, she wanted to take her mother somewhere safe and then chase him down from the wall. || She ran into the other room to fetch some kind of smelling salts to bring her mother out of her faint; Gregor wanted to help too—he could save his picture later, although he stuck fast to the glass and had to pull himself off by force; then he, too, ran into the next room as if he could advise his sister like in the old days; but he had to just stand behind her doing nothing; she was looking into various bottles, he startled her when she turned round; a bottle fell to the ground and broke; a splinter cut Gregor’s face, some kind of caustic medicine splashed all over him; now, without delaying any longer, Grete took hold of all the bottles she could and ran with them in to her mother; she slammed the door shut with her foot. || “Just as I expected”, said his father, “just as I always said, but you women wouldn’t listen, would you.”"
22,496,509,497,510,14,0.12057706813617743,0.04406863867743834,0.005747704898893113,0.11828694391257497,"Gregor was amazed at the enormous size of the soles of his boots, but wasted no time with that—he knew full well, right from the first day of his new life, that his father thought it necessary to always be extremely strict with him. || Now, as he lurched about in his efforts to muster all the strength he could for running he could hardly keep his eyes open; his thoughts became too slow for him to think of any other way of saving himself than running; he almost forgot that the walls were there for him to use although, here, they were concealed behind carefully carved furniture full of notches and protrusions—then, right beside him, lightly tossed, something flew down and rolled in front of him. || III   No-one dared to remove the apple lodged in Gregor’s flesh, so it remained there as a visible reminder of his injury."
23,539,543,540,544,5,0.13779073684210347,-0.01632231513566506,-0.02971770120954522,0.09737034913370256,"Sometimes he would think of taking over the family’s affairs, just like before, the next time the door was opened; he had long forgotten about his boss and the chief clerk, but they would appear again in his thoughts, the salesmen and the apprentices, that stupid teaboy, two or three friends from other businesses, one of the chambermaids from a provincial hotel, a tender memory that appeared and disappeared again, a cashier from a hat shop for whom his attention had been serious but too slow,—all of them appeared to him, mixed together with strangers and others he had forgotten, but instead of helping him and his family they were all of them inaccessible, and he was glad when they disappeared. || Gregor’s sister no longer thought about how she could please him but would hurriedly push some food or other into his room with her foot before she rushed out to work in the morning and at midday, and in the evening she would sweep it away again with the broom, indifferent as to whether it had been eaten or—more often than not—had been left totally untouched. || Smears of dirt were left on the walls, here and there were little balls of dust and filth."
24,553,562,554,563,10,0.13177257796665406,0.048580468453742434,-0.02275986073880322,0.10901271722785084,"This elderly widow, with a robust bone structure that made her able to withstand the hardest of things in her long life, wasn’t really repelled by Gregor. || At first she would call to him as she did so with words that she probably considered friendly, such as “come on then, you old dung-beetle!”, or “look at the old dung-beetle there!” || Instead of being afraid, the charwoman just lifted up one of the chairs from near the door and stood there with her mouth open, clearly intending not to close her mouth until the chair in her hand had been slammed down into Gregor’s back."
25,577,580,578,581,4,0.12443963631905691,-0.03376802958483123,-0.054074015201045406,0.0703656211180115,"The woman most likely meant to fetch the things back out again when she had time and the opportunity, or to throw everything out in one go, but what actually happened was that they were left where they landed when they had first been thrown unless Gregor made his way through the junk and moved it somewhere else. || At first he moved it because, with no other room free where he could crawl about, he was forced to, but later on he came to enjoy it although moving about in that way left him sad and tired to death, and he would remain immobile for hours afterwards. || But Gregor found it easy to give up having the door open, he had, after all, often failed to make use of it when it was open and, without the family having noticed it, lain in his room in its darkest corner."
26,596,599,597,600,4,0.13415120627655924,0.11113012340634053,-0.0230210828702187,0.09659701372997587,"The three gentlemen had already finished their meal, the one in the middle had produced a newspaper, given a page to each of the others, and now they leant back in their chairs reading them and smoking. || When the violin began playing they became attentive, stood up and went on tip-toe over to the door of the hallway where they stood pressed against each other. || We can stop it straight away.”"
27,629,645,630,646,17,0.09374390996673149,0.002819054669922853,-0.02083169759436932,0.07291221237236216,"She had let her hands drop and let violin and bow hang limply for a while but continued to look at the music as if still playing, but then she suddenly pulled herself together, lay the instrument on her mother’s lap who still sat laboriously struggling for breath where she was, and ran into the next room which, under pressure from her father, the three gentlemen were more quickly moving toward. || With that, he took hold of the door handle and slammed the door. || Maybe you can’t see it, but I can."
28,653,658,654,659,6,0.12085126838836065,0.0344860379208887,0.0006407622316661159,0.11420305437506663,"“We have to try and get rid of it”, said Gregor’s sister, now speaking only to her father, as her mother was too occupied with coughing to listen, “it’ll be the death of both of you, I can see it coming. || I can’t endure it any more.” || His sister just shrugged her shoulders as a sign of the helplessness and tears that had taken hold of her, displacing her earlier certainty."
29,672,696,673,697,25,0.08030383903236249,0.02361531624713927,0.0062590867603790675,0.051925716247138896,"All he had done was begin to turn round so that he could go back into his room, although that was in itself quite startling as his pain-wracked condition meant that turning round required a great deal of effort and he was using his head to help himself do it, repeatedly raising it and striking it against the floor. || He did not turn it all the way round as he felt his neck becoming stiff, but it was nonetheless enough to see that nothing behind him had changed, only his sister had stood up. || He thought back of his family with emotion and love."
30,699,708,700,709,10,0.10989871984308457,0.07591622425629194,-0.031129815952925376,0.04500409709055188,"He watched as it slowly began to get light everywhere outside the window too. || She happened to be holding the long broom in her hand, so she tried to tickle Gregor with it from the doorway. || Mr. Samsa threw the blanket over his shoulders, Mrs. Samsa just came out in her nightdress; and that is how they went into Gregor’s room."
31,726,740,727,741,15,0.10019867930696184,0.14108901449275185,0.04705372060586184,0.06105890552468047,"They did so, and stood around Gregor’s corpse with their hands in the pockets of their well-worn coats. || “I mean just what I said”, answered Mr. Samsa, and, with his two companions, went in a straight line towards the man. || Mr. Samsa and the two women followed them out onto the landing; but they had had no reason to mistrust the men’s intentions and as they leaned over the landing they saw how the three gentlemen made slow but steady progress down the many steps."
32,745,756,746,757,12,0.11280177563473759,0.11562212869129197,0.0106272229486759,0.011929780701754183,"The three of them at first just nodded without looking up from what they were writing, and it was only when the cleaner still did not seem to want to leave that they looked up in irritation. || “Yes”, she answered, and broke into a friendly laugh that made her unable to speak straight away, “well then, that thing in there, you needn’t worry about how you’re going to get rid of it. || Mr. Samsa twisted round in his chair to look at them and sat there watching for a while."
